Variety Name,Variety Number,Replication,Year,IDC_Score_1,IDC-Score_2,IDC_Score_3,SPAD1,SPAD2
PI054591,1,2,2015,2,2,3,20,20
PI054608_1,2,2,2015,2,3,3,19,12
PI054854,3,2,2015,1,1,1,28,26
PI062202,4,2,2015,1,1,1,26.9,28
PI065388,5,2,2015,1,1,1,20.9,29
PI068685,6,2,2015,1,1,1,23.8,25
PI068788,7,2,2015,1,1,1,26.2,26
PI068815,8,2,2015,1,1,1,24.7,24
PI070241,9,2,2015,1,1,1,25.8,28
PI070463,10,2,2015,1,1,1,25.6,29
PI071161,11,2,2015,1,1,1,23.9,26
PI072232,12,2,2015,1,1,1,24.1,24
PI079586,13,2,2015,1,1,1,22.9,25
PI079593,14,2,2015,1,1,1,21.4,26
PI079648,15,2,2015,1,1,1,21.5,25
PI079691_4,16,2,2015,1,1,1,27.9,28
PI079694,17,2,2015,1,1,1,28.9,24
PI079727,18,2,2015,1,1,1,26,29
PI079756,19,2,2015,1,1,1,24.8,26
PI079870_1,20,2,2015,1,1,1,27,27
PI080459,21,2,2015,1,1,1,25.8,26
PI080461,22,2,2015,1,1,1,22.9,26
PI080469,23,2,2015,1,1,1,24.3,24
PI080831,24,2,2015,1,1,1,21.1,25
PI081044_2,25,2,2015,1,1,1,26.6,26
PI081667,26,2,2015,2,2,2,19,18
PI081763,27,2,2015,1,1,1,20.1,24
PI081765,28,2,2015,1,1,1,19.3,29
PI081766,29,2,2015,1,1,1,23,25
PI081767,30,2,2015,1,1,1,29.5,24
PI081768,31,2,2015,1,1,1,27.2,26
PI081770,32,2,2015,1,1,1,20.4,24
PI081771,33,2,2015,1,1,1,31.5,28
PI081773,34,2,2015,1,1,1,30.5,26
PI082278,35,2,2015,1,1,1,22,24
PI084611,36,2,2015,1,1,1,32.7,28
PI084921,37,2,2015,1,1,1,26.5,27
PI084973,38,2,2015,1,1,1,32.2,29
PI085009_1,39,2,2015,1,1,1,29.5,25
PI085356,40,2,2015,1,1,1,29,26
PI086002,41,2,2015,1,1,1,25.5,24
PI086006,42,2,2015,1,1,1,32,25
PI086046,43,2,2015,1,1,1,27.1,26
PI086081,44,2,2015,1,1,1,22.2,28
PI086145,45,2,2015,1,1,1,23.7,26
PI086449,46,2,2015,1,1,1,28.5,25
PI086452,47,2,2015,1,1,1,19.3,26
PI087600_1,48,2,2015,1,1,1,27.5,24
PI087618,49,2,2015,1,1,1,26,27
PI087631_1,50,2,2015,1,1,1,22.5,25
PI087634,51,2,2015,1,1,1,26.6,26
PI088289,52,2,2015,1,1,1,30.4,31
PI088292,53,2,2015,1,1,1,27.4,25
PI088294_1,54,2,2015,1,1,1,23.2,26
PI088295,55,2,2015,1,1,1,23.9,24
PI088305,56,2,2015,1,1,1,24.4,28
PI088306,57,2,2015,1,1,1,30.4,26
PI088497,58,2,2015,1,1,1,21.8,25
PI088788,59,2,2015,1,1,1,22,27
PI089003_1,60,2,2015,1,1,1,24.6,26
PI089008,61,2,2015,1,1,1,29.4,29
PI089060,62,2,2015,1,1,1,26.1,24
PI089130,63,2,2015,1,1,1,21.9,25
PI089134,64,2,2015,1,1,1,25.3,26
PI089152,65,2,2015,1,1,1,25.7,24
PI089153,66,2,2015,1,1,1,27.2,26
PI089154,67,2,2015,1,1,1,25.6,23
PI089156,68,2,2015,3,3,3,12,12
PI089773,69,2,2015,1,1,1,22.2,25
PI090392,70,2,2015,1,1,1,26.7,27
PI091091,71,2,2015,1,1,1,24.8,26
PI091102,72,2,2015,1,1,1,24.9,21
PI091120_3,73,2,2015,1,1,1,23.2,23
PI091162,74,2,2015,1,1,1,23.6,25
PI091341,75,2,2015,1,1,1,32.7,29
PI091349,76,2,2015,1,1,1,26.9,26
PI091559,77,2,2015,1,1,1,24.4,24
PI091725_3,78,2,2015,1,1,1,26,25
PI091733,79,2,2015,1,1,1,19.7,26
PI092465,80,2,2015,1,1,1,19.8,24
PI092603,81,2,2015,1,1,1,22.8,23
PI092611,82,2,2015,1,1,1,29.1,25
PI092683,83,2,2015,1,1,1,30.6,26
PI092706,84,2,2015,1,1,1,24.2,28
PI096162,85,2,2015,1,1,1,26,27
PI096199,86,2,2015,1,1,1,22.1,21
PI096322,87,2,2015,1,1,1,27.6,26
PI096786_1,88,2,2015,1,1,1,24.5,25
PI131531,89,2,2015,1,1,1,22.5,23
PI135589,90,2,2015,1,1,1,18.7,24
PI135590,91,2,2015,2,3,2,20,11
PI153229,92,2,2015,1,1,1,27.6,25
PI153250,93,2,2015,1,1,1,27.7,26
PI153280,94,2,2015,1,1,1,25.7,27
PI153282,95,2,2015,1,1,1,27.9,26
PI157421,96,2,2015,3,3,3,11,10
PI167240,97,2,2015,1,1,1,27.7,26
PI171450,98,2,2015,1,1,1,25,24
PI173994,99,2,2015,1,1,1,26.8,29
PI181536,100,2,2015,1,1,1,32.5,26
PI181537,101,2,2015,1,1,1,30.4,24
PI189916,102,2,2015,2,1,1,20,25
PI189919,103,2,2015,1,1,1,24.4,26
PI189930,104,2,2015,2,1,1,20.6,24
PI189941,105,2,2015,1,1,1,24.7,22
PI189958,106,2,2015,1,1,1,25,23
PI189969,107,2,2015,1,1,1,22.5,21
PI196149,108,2,2015,1,1,1,30,29
PI196150,109,2,2015,2,1,1,19,25
PI200478,110,2,2015,1,1,1,22.7,26
PI200548,111,2,2015,1,1,1,22.2,21
PI205085,112,2,2015,1,1,1,26.6,28
PI205087,113,2,2015,1,1,1,30.5,23
PI227212,114,2,2015,1,1,1,24,28
PI227325,115,2,2015,1,3,3,21.7,12
PI227558,116,2,2015,1,1,1,24.4,26
PI229336,117,2,2015,1,1,1,30.4,28
PI232987,118,2,2015,1,1,1,17.8,26
PI232988,119,2,2015,1,1,1,22.2,24
PI232989,120,2,2015,2,2,2,19,19
PI232990,121,2,2015,1,1,1,22.3,26
PI232992,122,2,2015,1,1,1,24,25
PI248509A,123,2,2015,1,1,1,25.5,24
PI250844,124,2,2015,1,1,1,22.4,26
PI253650A,125,2,2015,1,1,1,25.4,28
PI253651C,126,2,2015,1,1,1,23.3,24
PI253652C,127,2,2015,1,1,1,23.6,23
PI253653D,128,2,2015,1,1,1,21.4,24
PI253658A,129,2,2015,1,1,1,24.9,26
PI253660B,130,2,2015,3,4,4,10.2,8
PI261466,131,2,2015,1,1,1,30,29
PI261474,132,2,2015,2,2,2,18.8,20
PI266806A,133,2,2015,1,1,1,21.7,24
PI290149,134,2,2015,2,1,1,18.7,26
PI291274B,135,2,2015,1,1,1,29.5,25
PI291275,136,2,2015,1,1,1,21.6,24
PI291277,137,2,2015,1,1,1,20.7,23
PI291278,138,2,2015,1,1,1,23.7,25
PI291309C,139,2,2015,1,1,1,24.8,24
PI297538,140,2,2015,1,1,1,24.4,26
PI323586B,141,2,2015,1,1,1,21.9,21
PI326579,142,2,2015,1,1,1,24.3,25
PI326580,143,2,2015,1,1,1,21.4,26
PI339868E,144,2,2015,1,1,1,21.2,24
PI361080,145,2,2015,1,1,1,18.2,26
PI361090,146,2,2015,1,1,1,23.4,24
PI361101,147,2,2015,2,1,1,21.5,28
PI378663,148,2,2015,1,1,1,28.9,26
PI378679,149,2,2015,1,1,1,22.9,25
PI379559D,150,2,2015,1,1,1,24.3,23
PI379561,151,2,2015,1,1,1,23.3,24
PI391577,152,2,2015,1,1,1,25.9,28
PI391586,153,2,2015,1,1,1,22.1,26
PI398813,154,2,2015,1,1,1,28.3,24
PI398881,155,2,2015,1,1,1,32.9,28
PI401418,156,2,2015,1,1,1,24,26
PI404160B,157,2,2015,1,1,1,23.1,24
PI404166,158,2,2015,1,1,1,24.4,28
PI404169B,159,2,2015,1,1,1,22.2,26
PI407653,160,2,2015,1,1,1,26.9,25
PI407656,161,2,2015,1,1,1,21.4,26
PI407659A,162,2,2015,1,1,1,22,24
PI407746,163,2,2015,1,1,1,23.8,25
PI407810,164,2,2015,4,5,5,8,6
PI416762,165,2,2015,1,1,1,27.9,26
PI416773,166,2,2015,1,1,1,20.7,24
PI416835,167,2,2015,1,1,1,29.2,25
PI416868A,168,2,2015,1,1,1,24.3,26
PI417054,169,2,2015,1,1,1,30.7,28
PI417091,170,2,2015,1,1,1,24.1,24
PI417138,171,2,2015,1,1,1,25.6,25
PI417139,172,2,2015,1,1,1,20.3,23
PI417167,173,2,2015,1,1,1,26.8,25
PI417198,174,2,2015,1,1,1,23.9,21
PI417297,175,2,2015,1,1,1,30,29
PI417513B,176,2,2015,1,1,1,18.2,28
PI417517,177,2,2015,2,2,2,20.9,19
PI417559,178,2,2015,1,2,2,31.8,21
PI423870,179,2,2015,1,1,1,30.9,25
PI424005,180,2,2015,4,4,4,8,7
PI424078,181,2,2015,3,2,2,12,20
PI430596,182,2,2015,2,3,4,19.2,12
PI430597,183,2,2015,1,1,1,26.7,28
PI430619,184,2,2015,1,1,1,25.5,27
PI437091,185,2,2015,1,1,1,28.9,30
