Variety Name,Variety Number,Replication,Year,IDC_Score_1,IDC-Score_2,IDC_Score_3,SPAD1,SPAD2
PI054591,1,1,2015,2,2,3,19,20
PI054608_1,2,1,2015,3,3,3,12,10
PI054854,3,1,2015,1,1,1,22.4,26
PI062202,4,1,2015,1,1,1,26.5,24
PI065388,5,1,2015,1,1,1,25.5,24.1
PI068685,6,1,2015,1,1,1,25.9,23.2
PI068788,7,1,2015,1,1,1,26.3,28.5
PI068815,8,1,2015,1,1,1,30.4,31.2
PI070241,9,1,2015,1,1,1,25.3,23.1
PI070463,10,1,2015,1,1,1,28.6,24.5
PI071161,11,1,2015,1,1,1,30.8,31.2
PI072232,12,1,2015,1,1,1,23.8,26.5
PI079586,13,1,2015,1,1,1,26.5,23.1
PI079593,14,1,2015,1,1,1,25.9,22.1
PI079648,15,1,2015,1,1,1,24.8,28.1
PI079691_4,16,1,2015,1,1,1,19.3,25
PI079694,17,1,2015,1,1,1,22.9,24
PI079727,18,1,2015,1,1,1,24.3,21.3
PI079756,19,1,2015,1,1,1,25.7,28.4
PI079870_1,20,1,2015,1,1,1,25,26.1
PI080459,21,1,2015,1,1,1,23,22
PI080461,22,1,2015,1,1,1,27.6,24.3
PI080469,23,1,2015,2,2,2,19,18
PI080831,24,1,2015,1,1,1,22.8,24
PI081044_2,25,1,2015,1,1,1,28.6,26
PI081667,26,1,2015,1,1,1,24.4,24
PI081763,27,1,2015,1,1,1,25.6,23
PI081765,28,1,2015,1,1,1,29.6,24
PI081766,29,1,2015,1,1,1,31.5,28
PI081767,30,1,2015,1,1,1,26,27
PI081768,31,1,2015,1,1,1,27.1,26
PI081770,32,1,2015,1,1,1,28.8,25
PI081771,33,1,2015,1,1,1,32,31
PI081773,34,1,2015,1,1,1,31.1,29
PI082278,35,1,2015,1,1,1,24,21
PI084611,36,1,2015,1,1,1,32,30
PI084921,37,1,2015,1,1,1,25.3,24
PI084973,38,1,2015,1,1,1,32,31
PI085009_1,39,1,2015,1,1,1,28.6,26
PI085356,40,1,2015,1,1,1,26.8,24
PI086002,41,1,2015,2,2,2,18,19
PI086006,42,1,2015,1,1,1,31.8,30
PI086046,43,1,2015,1,1,1,23,25
PI086081,44,1,2015,1,1,1,31.9,28
PI086145,45,1,2015,1,1,1,31.5,31
PI086449,46,1,2015,1,1,1,28.8,29
PI086452,47,1,2015,3,3,3,14,11
PI087600_1,48,1,2015,1,1,1,26.2,25
PI087618,49,1,2015,1,1,1,29.7,27
PI087631_1,50,1,2015,1,1,1,27.3,26
PI087634,51,1,2015,1,1,1,25.1,23
PI088289,52,1,2015,1,1,1,25.3,21
PI088292,53,1,2015,1,1,1,28.7,25
PI088294_1,54,1,2015,4,4,4,6.7,8.9
PI088295,55,1,2015,1,1,1,26.5,23
PI088305,56,1,2015,1,1,1,25.5,24
PI088306,57,1,2015,1,1,1,28.2,25
PI088497,58,1,2015,1,1,1,27.6,26
PI088788,59,1,2015,1,1,1,23.1,22
PI089003_1,60,1,2015,1,1,1,27.1,24
PI089008,61,1,2015,1,1,1,20.5,25
PI089060,62,1,2015,1,1,1,26.4,27
PI089130,63,1,2015,1,1,1,25.9,21
PI089134,64,1,2015,1,1,1,27.9,25
PI089152,65,1,2015,1,1,1,31.4,29
PI089153,66,1,2015,1,1,1,25.6,26
PI089154,67,1,2015,2,2,2,19,18
PI089156,68,1,2015,4,4,4,8,6.6
PI089773,69,1,2015,1,1,1,28.5,26
PI090392,70,1,2015,1,1,1,28,24
PI091091,71,1,2015,1,1,1,30.8,29
PI091102,72,1,2015,1,1,1,30.4,24
PI091120_3,73,1,2015,1,1,1,24.5,25
PI091162,74,1,2015,1,1,1,31.5,31
PI091341,75,1,2015,1,1,1,25.5,22
PI091349,76,1,2015,1,1,1,28.9,26
PI091559,77,1,2015,1,1,1,25.3,24
PI091725_3,78,1,2015,1,1,1,23.2,28
PI091733,79,1,2015,1,1,1,20.6,23
PI092465,80,1,2015,3,4,4,11.7,8
PI092603,81,1,2015,1,1,1,30.8,26
PI092611,82,1,2015,1,1,1,27.5,21
PI092683,83,1,2015,1,1,1,28.7,23
PI092706,84,1,2015,1,1,1,27.9,25
PI096162,85,1,2015,1,1,1,23.4,21
PI096199,86,1,2015,1,1,1,28.8,25
PI096322,87,1,2015,1,1,1,28.1,26
PI096786_1,88,1,2015,1,1,1,26.4,24
PI131531,89,1,2015,1,1,1,29.5,23
PI135589,90,1,2015,1,1,1,24.8,25
PI135590,91,1,2015,3,3,3,11,13
PI153229,92,1,2015,1,1,1,26.5,25
PI153250,93,1,2015,1,1,1,31,26
PI153280,94,1,2015,1,1,1,29.6,23
PI153282,95,1,2015,1,1,1,27.8,25
PI157421,96,1,2015,1,1,1,27.6,21
PI167240,97,1,2015,1,1,1,20.6,23
PI171450,98,1,2015,1,1,1,21.5,25
PI173994,99,1,2015,1,1,1,28.2,21
PI181536,100,1,2015,1,1,1,31.4,26
PI181537,101,1,2015,1,1,1,30.9,24
PI189916,102,1,2015,1,1,1,26.7,25
PI189919,103,1,2015,1,1,1,27.3,23
PI189930,104,1,2015,1,1,1,26.7,21
PI189941,105,1,2015,2,1,1,21,25
PI189958,106,1,2015,1,1,1,22.5,23
PI189969,107,1,2015,1,1,1,33,28
PI196149,108,1,2015,1,1,1,25.7,22
PI196150,109,1,2015,3,4,4,13.7,7
PI200478,110,1,2015,1,1,1,30.2,31
PI200548,111,1,2015,1,1,1,23.3,22
PI205085,112,1,2015,1,1,1,34.6,31
PI205087,113,1,2015,1,1,1,29.2,25
PI227212,114,1,2015,1,1,1,32.4,21
PI227325,115,1,2015,1,1,1,22.5,22
PI227558,116,1,2015,1,1,1,29.5,26
PI229336,117,1,2015,1,1,1,23.3,24
PI232987,118,1,2015,1,1,1,30,31
PI232988,119,1,2015,1,1,1,23.6,25
PI232989,120,1,2015,1,1,1,26,21
PI232990,121,1,2015,1,1,1,24.8,23
PI232992,122,1,2015,1,1,1,22.6,25
PI248509A,123,1,2015,1,1,1,28.3,24
PI250844,124,1,2015,1,1,2,28.5,23
PI253650A,125,1,2015,1,1,1,25.8,25
PI253651C,126,1,2015,1,1,1,32.5,26
PI253652C,127,1,2015,1,1,1,31.9,27
PI253653D,128,1,2015,1,1,1,24,26
PI253658A,129,1,2015,1,1,1,23.5,25
