Variety Name,Varitey Number,Replication,Year,IDC_Score_1,IDC_Score_2,IDC_Score_3,SPAD_1,SPAD_2
PI253660B,130,2,2014,2,2,2,30,24
PI261466,131,2,2014,2,2,1,20,21
PI261474,132,2,2014,3,2,1,29,26
PI266806A,133,2,2014,3,4,4,10,12
PI290149,134,2,2014,3,3,4,12,4
PI291274B,135,2,2014,2,3,3,17,15
PI291275,136,2,2014,2,2,1,24,23
PI291277,137,2,2014,2,2,4,21,19
PI291278,138,2,2014,2,2,3,27,20
PI291309C,139,2,2014,2,2,1,29,25
PI297538,140,2,2014,2,2,1,23,31
PI323586B,141,2,2014,3,3,4,14,12
PI326579,142,2,2014,2,2,2,21,25
PI326580,143,2,2014,2,2,2,24,21
PI339868E,144,2,2014,2,4,4,4,10
PI361080,145,2,2014,2,1,2,25,22
PI361090,146,2,2014,3,3,3,12,13
PI361101,147,2,2014,2,3,2,19,16
PI378663,148,2,2014,1,2,1,28,24
PI378679,149,2,2014,2,1,1,32,26
PI379559D,150,2,2014,3,3,4,12,4
PI379561,151,2,2014,2,2,2,24,22
PI391577,152,2,2014,2,1,1,27,25
PI391586,153,2,2014,2,1,2,33,21
PI398813,154,2,2014,2,1,1,27,21
PI398881,155,2,2014,2,1,1,27,21
PI401418,156,2,2014,2,2,1,22,21
PI404160B,157,2,2014,2,1,1,28,26
PI404166,158,2,2014,2,2,2,31,22
PI404169B,159,2,2014,2,2,3,15,18
PI407653,160,2,2014,2,1,1,27,25
PI407656,161,2,2014,2,2,2,25,21
PI407659A,162,2,2014,1,1,1,30,28
PI407746,163,2,2014,2,1,1,29,22
PI407810,164,2,2014,3,3,4,9,9
PI416762,165,2,2014,2,4,3,10,12
PI416773,166,2,2014,2,3,3,12,13
PI416835,167,2,2014,2,2,2,26,24
PI416868A,168,2,2014,3,3,3,12,10
PI417054,169,2,2014,2,3,3,13,6
PI417091,170,2,2014,1,2,1,26,21
PI417138,171,2,2014,2,1,1,28,22
PI417139,172,2,2014,2,2,2,24,22
PI417167,173,2,2014,2,3,4,10,9
PI417198,174,2,2014,2,2,3,24,24
PI417297,175,2,2014,2,1,2,28,22
PI417513B,176,2,2014,2,2,3,18,16
PI417517,177,2,2014,3,4,3,13,15
PI417559,178,2,2014,2,1,1,32,30
PI423870,179,2,2014,2,2,2,22,20
PI424005,180,2,2014,4,4,4,5,8
PI424078,181,2,2014,3,3,5,11,5
PI430596,182,2,2014,4,4,5,4,2
PI430597,183,2,2014,2,1,2,28,24
PI430619,184,2,2014,2,4,4,10,8
PI437091,185,2,2014,2,4,3,10,12
PI437098,186,2,2014,3,3,4,8,9
PI437116,187,2,2014,2,2,1,22,22
PI437121B,188,2,2014,2,1,1,27,24
PI437122,189,2,2014,2,1,1,28,26
PI437124,190,2,2014,3,2,3,21,20
PI437145B,191,2,2014,3,4,5,5,3
PI437156C,192,2,2014,1,1,1,27,23
PI437165A,193,2,2014,3,3,3,13,14
PI437174B,194,2,2014,2,1,1,27,22
PI437340B,195,2,2014,1,1,1,31,27
PI437345,196,2,2014,2,2,1,27,25
PI437356,197,2,2014,2,3,3,15,11
PI437377,198,2,2014,2,2,3,21,19
PI437399,199,2,2014,2,2,1,25,22
PI437425,200,2,2014,2,3,4,12,12
PI437427B,201,2,2014,2,1,1,29,25
PI437462A,202,2,2014,4,5,5,2,2
PI437477A,203,2,2014,3,3,3,10,26
PI437509,204,2,2014,2,3,2,15,11
PI437519,205,2,2014,2,2,1,27,25
PI437558,206,2,2014,2,1,1,32,22
PI437581,207,2,2014,4,4,5,7,6
PI437585,208,2,2014,3,3,5,9,4
PI437592,209,2,2014,3,4,4,7,7
PI437594A,210,2,2014,2,3,5,12,5
PI437651B,211,2,2014,3,3,3,10,12
PI437656,212,2,2014,2,1,1,28,24
PI437662,213,2,2014,2,1,1,25,28
PI437663,214,2,2014,2,1,2,32,22
PI437674,215,2,2014,2,2,1,29,21
PI437682A,216,2,2014,2,1,1,30,24
PI437690,217,2,2014,2,1,1,35,26
PI437715,218,2,2014,3,4,3,13,12
PI437716A,219,2,2014,3,3,4,12,6
PI437733,220,2,2014,1,1,1,29,22
PI437738B,221,2,2014,2,2,1,23,23
PI437757,222,2,2014,2,1,2,32,25
PI437786,223,2,2014,2,2,2,24,24
PI437803,224,2,2014,2,2,1,25,22
PI437840A,225,2,2014,2,3,3,15,13
PI437846,226,2,2014,2,1,1,26,26
PI437935,227,2,2014,2,1,2,27,25
PI437944,228,2,2014,2,2,2,27,22
PI437949,229,2,2014,2,2,2,25,23
PI437950,230,2,2014,2,1,1,33,28
PI437964A,231,2,2014,4,5,5,4,3
PI437973,232,2,2014,2,2,2,26,23
PI438031,233,2,2014,2,1,1,32,24
PI438094B,234,2,2014,2,2,2,24,26
PI438103,235,2,2014,3,2,1,21,21
PI438133B,236,2,2014,3,5,5,4,4
PI438139,237,2,2014,3,4,4,4,6
PI438152,238,2,2014,2,1,2,30,25
PI438173,239,2,2014,2,1,1,25,22
PI438194,240,2,2014,2,2,2,28,21
PI438218,241,2,2014,3,3,3,17,15
PI438259B,242,2,2014,4,4,5,11,9
PI438292,243,2,2014,3,4,3,8,6
PI438312,244,2,2014,2,3,4,15,13
PI438376,245,2,2014,2,3,3,14,23
PI438434,246,2,2014,2,1,1,30,27
PI438503A,247,2,2014,1,1,2,30,23
PI445819,248,2,2014,2,2,1,26,21
PI445845,249,2,2014,2,1,1,28,25
PI458052,250,2,2014,1,2,2,25,22
PI458061A,251,2,2014,2,2,1,20,24
PI458110,252,2,2014,2,2,2,24,20
PI458307A,253,2,2014,1,1,1,31,28
PI458506,254,2,2014,2,2,1,22,20
PI458507,255,2,2014,2,3,3,12,14
PI458517,256,2,2014,1,1,1,29,25
PI458519A,257,2,2014,2,1,1,27,22
PI458520,258,2,2014,2,1,1,31,26
PI458521,259,2,2014,3,3,4,14,14
PI458522,260,2,2014,2,3,4,14,6
PI458825B,261,2,2014,2,3,3,12,13
PI461509,262,2,2014,2,2,1,24,28
PI464877,263,2,2014,3,4,5,8,4
PI464878,264,2,2014,3,5,5,2,3
PI464880,265,2,2014,2,3,2,14,14
PI464884,266,2,2014,2,2,1,29,27
PI464914B,267,2,2014,2,3,4,10,10
PI464915A,268,2,2014,2,1,2,28,21
PI467307,269,2,2014,2,2,1,21,20
PI467310,270,2,2014,3,3,4,12,9
PI467311A,271,2,2014,2,2,3,13,21
PI467312,272,2,2014,3,3,4,13,12
PI467324,273,2,2014,1,1,1,27,27
PI467327,274,2,2014,2,1,1,30,23
PI467328,275,2,2014,2,2,1,25,27
PI467332,276,2,2014,1,2,2,21,25
PI467334B,277,2,2014,3,1,1,31,29
PI468381,278,2,2014,2,1,1,28,20
PI468384,279,2,2014,1,1,1,27,25
PI468385,280,2,2014,2,1,1,27,25
PI468907,281,2,2014,3,3,3,11,7
PI468914,282,2,2014,2,1,1,27,27
PI468919,283,2,2014,2,3,2,15,16
PI470223,284,2,2014,2,1,1,27,21
PI470227B,285,2,2014,2,1,1,29,23
PI471899,286,2,2014,2,1,1,27,23
PI475810,287,2,2014,2,2,1,24,23
PI475811B,288,2,2014,3,4,5,13,7
PI475818,289,2,2014,2,2,2,22,20
PI475820,290,2,2014,3,1,1,26,24
PI475822B,291,2,2014,3,1,2,30,22
PI476344,292,2,2014,2,3,3,14,11
PI476345,293,2,2014,1,2,2,25,20
PI476348,294,2,2014,2,1,1,29,23
PI476911,295,2,2014,2,2,1,25,22
PI479711,296,2,2014,2,2,2,20,22
PI479713,297,2,2014,3,4,5,6,5
PI479718B,298,2,2014,1,2,1,24,21
PI479719,299,2,2014,2,1,1,28,27
PI479724A,300,2,2014,3,4,5,5,3
PI479729,301,2,2014,2,3,4,11,12
PI479738,302,2,2014,3,4,4,5,3
PI479740,303,2,2014,3,3,3,11,7
PI483459,304,2,2014,2,1,1,27,22
PI504485,305,2,2014,2,3,2,20,16
PI504490,306,2,2014,1,2,2,19,22
PI504497,307,2,2014,2,1,1,33,24
PI506527,308,2,2014,2,3,4,8,7
PI506528,309,2,2014,2,1,1,31,23
PI506529,310,2,2014,1,2,1,25,25
PI506634,311,2,2014,2,1,1,28,24
PI506678,312,2,2014,2,2,2,20,22
PI506800B,313,2,2014,1,1,1,29,21
PI506887,314,2,2014,3,1,1,28,24
PI507027,315,2,2014,2,4,3,15,14
PI507147,316,2,2014,1,2,1,26,21
PI507171,317,2,2014,3,3,3,16,15
PI507195,318,2,2014,2,1,1,27,20
PI507267,319,2,2014,2,2,1,22,24
PI507487,320,2,2014,3,4,3,15,12
PI507491,321,2,2014,3,4,5,10,9
PI507717,322,2,2014,3,3,4,16,11
PI512322C,323,2,2014,2,4,3,10,2
PI518283,324,2,2014,3,3,3,19,10
PI518706A,325,2,2014,2,2,2,22,22
PI518757,326,2,2014,2,2,2,26,23
PI522188A,327,2,2014,2,2,3,18,16
PI524994,328,2,2014,2,1,1,31,27
PI532456,329,2,2014,3,3,3,11,12
PI532462A,330,2,2014,3,4,3,8,12
PI532472,331,2,2014,3,3,3,3,5
PI538377,332,2,2014,2,2,1,23,20
PI538389,333,2,2014,2,1,1,28,26
PI538393,334,2,2014,2,2,2,24,23
PI538400,335,2,2014,2,1,1,32,25
PI538403,336,2,2014,2,2,1,24,26
PI538410B,337,2,2014,2,2,1,25,23
PI540739,338,2,2014,2,3,3,13,11
PI547430,339,2,2014,3,5,5,3,5
PI548316,340,2,2014,2,2,1,26,21
PI548329,341,2,2014,2,2,1,27,26
PI548336,342,2,2014,3,4,3,12,12
PI548349,343,2,2014,2,2,2,18,18
PI548373,344,2,2014,2,2,2,21,20
PI548533,345,2,2014,2,1,1,24,22
PI549021A,346,2,2014,2,1,1,32,29
PI549031,347,2,2014,2,2,2,24,22
PI549041A,348,2,2014,3,3,3,15,12
PI549056,349,2,2014,2,1,1,31,27
PI549064,350,2,2014,2,2,1,22,21
PI561230,351,2,2014,3,3,3,9,8
PI561232,352,2,2014,1,3,3,12,10
PI561315,353,2,2014,2,1,1,27,23
PI561333,354,2,2014,2,2,1,29,21
PI561346,355,2,2014,2,2,1,24,28
PI561348,356,2,2014,2,1,2,30,22
PI561349,357,2,2014,2,1,1,26,26
PI561377,358,2,2014,2,2,1,19,21
PI562387,359,2,2014,4,5,5,4,5
PI567154,360,2,2014,1,1,1,32,27
PI567159A,361,2,2014,3,3,3,10,12
PI567161,362,2,2014,3,5,5,3,1
PI567163,363,2,2014,3,3,3,9,10
PI567170A,364,2,2014,2,2,1,27,21
PI567170B,365,2,2014,1,2,1,25,23
PI567214B,366,2,2014,2,1,1,32,21
PI567229A,367,2,2014,2,2,1,27,24
PI567241,368,2,2014,3,3,4,13,14
PI567250B,369,2,2014,2,1,1,34,26
PI567255A,370,2,2014,1,1,1,32,30
PI567261B,371,2,2014,2,2,1,19,23
PI567262D,372,2,2014,2,2,1,25,21
PI567264A,373,2,2014,3,1,1,30,21
PI567266A,374,2,2014,1,2,1,27,26
PI567267A,375,2,2014,1,1,1,30,21
PI567275,376,2,2014,2,1,1,27,25
PI567277,377,2,2014,2,3,3,16,12
PI567278,378,2,2014,1,3,3,14,14
PI567351A,379,2,2014,3,1,1,33,22
PI567365,380,2,2014,3,1,2,30,21
PI567417B,381,2,2014,2,2,1,20,23
PI567538B,382,2,2014,2,1,1,27,24
PI567583A,383,2,2014,3,4,4,7,4
PI567595A,384,2,2014,2,2,2,20,22
PI567619,385,2,2014,2,1,1,29,23
PI567644,386,2,2014,3,3,3,11,9
PI567729,387,2,2014,2,1,1,27,20
PI567774B,388,2,2014,2,1,1,30,23
PI574478B,389,2,2014,3,4,4,4,5
PI574480B,390,2,2014,2,3,3,14,13
PI578360,391,2,2014,3,2,3,25,19
PI578362,392,2,2014,1,1,1,30,23
PI578363,393,2,2014,3,3,3,13,14
PI578364,394,2,2014,3,3,4,15,13
PI578366,395,2,2014,4,5,5,2,3
PI578367,396,2,2014,4,5,5,6,3
PI578374,397,2,2014,1,1,1,29,24
PI578375B,398,2,2014,3,3,2,14,14
PI578376,399,2,2014,2,2,1,20,26
PI578380A,400,2,2014,2,1,1,30,25
PI578382,401,2,2014,2,2,2,21,25
PI578384,402,2,2014,2,2,1,27,23
PI578385,403,2,2014,3,2,2,27,23
PI578386,404,2,2014,2,2,1,28,26
PI578416,405,2,2014,2,1,1,31,26
PI578439,406,2,2014,2,2,2,21,24
PI578473A,407,2,2014,2,3,4,6,5
PI578474,408,2,2014,3,3,3,23,10
PI578499A,409,2,2014,2,3,3,13,12
PI578499B,410,2,2014,3,2,2,22,23
PI588008A,411,2,2014,3,3,3,10,11
PI592907C,412,2,2014,2,3,4,14,15
PI592908,413,2,2014,3,2,1,24,24
PI592910,414,2,2014,3,3,3,8,7
PI592911B,415,2,2014,3,4,4,10,12
PI592912A,416,2,2014,4,1,1,29,25
PI592913,417,2,2014,3,5,5,5,3
PI593970,418,2,2014,2,1,1,26,21
PI593982,419,2,2014,3,3,4,10,5
PI594156,420,2,2014,2,2,1,27,27
PI594170B,421,2,2014,2,3,2,18,13
PI594296,422,2,2014,3,2,1,28,21
PI594394,423,2,2014,1,1,1,26,22
PI594457A,424,2,2014,2,1,2,31,29
PI594471A,425,2,2014,3,2,1,28,21
PI594898,426,2,2014,3,4,5,9,6
PI594902,427,2,2014,2,1,1,28,27
PI597397A,428,2,2014,2,1,1,35,24
PI597405B,429,2,2014,2,2,1,25,26
PI597482,430,2,2014,1,1,2,26,22
PI602497A,431,2,2014,2,1,2,25,28
PI603151A,432,2,2014,2,2,1,27,24
PI603334,433,2,2014,2,1,1,29,30
PI603335B,434,2,2014,2,3,3,12,14
PI603337A,435,2,2014,3,1,1,29,22
PI603339A,436,2,2014,3,4,5,8,3
PI603367,437,2,2014,2,1,1,26,24
PI603371,438,2,2014,2,3,3,14,16
PI603412B,439,2,2014,2,1,1,30,28
PI603422B,440,2,2014,3,2,3,24,17
PI603424C,441,2,2014,1,1,1,32,25
PI603426F,442,2,2014,3,2,1,24,23
PI603428D,443,2,2014,2,1,1,29,24
PI603438E,444,2,2014,1,1,1,37,26
PI603442,445,2,2014,2,2,1,25,22
PI603444A,446,2,2014,2,1,1,32,24
PI603452,447,2,2014,3,3,3,16,11
PI603470,448,2,2014,2,2,1,24,20
PI603546A,449,2,2014,3,1,3,32,19
PI603560,450,2,2014,2,1,2,27,21
PI603587A,451,2,2014,3,2,1,29,23
PI603594,452,2,2014,3,3,4,7,11
PI603596,453,2,2014,2,1,2,31,22
PI603655,454,2,2014,1,2,1,25,25
PI603660,455,2,2014,3,4,5,8,5
PI603662B,456,2,2014,2,2,3,21,14
PI603674,457,2,2014,2,4,5,8,3
PI603704A,458,2,2014,2,1,1,31,28
PI603747,459,2,2014,2,2,2,22,20
PI603749,460,2,2014,1,2,2,29,22
PI603912,461,2,2014,2,1,1,31,30
PI603915C,462,2,2014,2,2,2,24,25
PI612611,463,2,2014,3,2,1,29,22
PI612711B,464,2,2014,2,2,1,30,26
PI612752,465,2,2014,2,1,2,29,21
PI612754,466,2,2014,3,1,2,31,26
PI612759C,467,2,2014,3,4,5,6,6
PI612760,468,2,2014,3,3,3,16,8
