Variety Name,Varitey Number,Replication,Year,IDC_Score_1,IDC_Score_2,IDC_Score_3,SPAD_1,SPAD_2
PI054591,1,2,2014,3,3,3,13,12
PI054608_1,2,2,2014,4,5,5,2,4
PI054854,3,2,2014,1,1,1,29,25
PI062202,4,2,2014,1,1,2,28,22
PI065388,5,2,2014,2,3,3,15,10
PI068685,6,2,2014,2,2,2,21,21
PI068788,7,2,2014,2,2,2,27,22
PI068815,8,2,2014,2,3,4,15,6
PI070241,9,2,2014,1,1,1,26,21
PI070463,10,2,2014,2,2,2,20,20
PI071161,11,2,2014,2,3,3,12,11
PI072232,12,2,2014,2,2,2,28,23
PI079586,13,2,2014,2,2,1,29,23
PI079593,14,2,2014,2,3,3,13,8
PI079648,15,2,2014,2,1,1,30,21
PI079691_4,16,2,2014,2,2,2,24,21
PI079694,17,2,2014,2,2,1,25,24
PI079727,18,2,2014,2,2,3,19,18
PI079756,19,2,2014,2,3,4,11,7
PI079870_1,20,2,2014,2,1,1,32,22
PI080459,21,2,2014,1,1,1,28,20
PI080461,22,2,2014,3,4,5,5,1
PI080469,23,2,2014,3,3,3,6,8
PI080831,24,2,2014,3,4,4,7,6
PI081044_2,25,2,2014,2,3,3,12,8
PI081667,26,2,2014,3,4,5,4,3
PI081763,27,2,2014,1,1,1,27,22
PI081765,28,2,2014,1,1,1,35,24
PI081766,29,2,2014,1,2,2,27,23
PI081767,30,2,2014,2,1,1,27,23
PI081768,31,2,2014,2,1,1,33,25
PI081770,32,2,2014,2,1,2,27,23
PI081771,33,2,2014,2,2,2,27,21
PI081773,34,2,2014,2,1,2,29,27
PI082278,35,2,2014,2,2,1,21,20
PI084611,36,2,2014,2,2,1,23,28
PI084921,37,2,2014,1,1,1,30,27
PI084973,38,2,2014,2,3,3,14,14
PI085009_1,39,2,2014,1,1,2,30,26
PI085356,40,2,2014,2,1,1,32,28
PI086002,41,2,2014,2,1,1,30,22
PI086006,42,2,2014,3,4,3,9,13
PI086046,43,2,2014,1,2,2,21,22
PI086081,44,2,2014,2,3,4,13,11
PI086145,45,2,2014,1,1,1,33,23
PI086449,46,2,2014,2,1,1,32,23
PI086452,47,2,2014,1,3,3,14,14
PI087600_1,48,2,2014,2,1,1,29,26
PI087618,49,2,2014,3,5,5,3,5
PI087631_1,50,2,2014,2,2,1,25,23
PI087634,51,2,2014,2,2,1,24,26
PI088289,52,2,2014,2,1,1,30,28
PI088292,53,2,2014,2,3,2,14,12
PI088294_1,54,2,2014,3,4,5,4,9
PI088295,55,2,2014,3,1,2,34,24
PI088305,56,2,2014,2,1,2,27,22
PI088306,57,2,2014,2,1,1,27,25
PI088497,58,2,2014,2,2,3,23,19
PI088788,59,2,2014,2,2,2,17,20
PI089003_1,60,2,2014,2,1,1,34,29
PI089008,61,2,2014,2,2,1,25,22
PI089060,62,2,2014,2,1,1,33,28
PI089130,63,2,2014,2,2,2,21,26
PI089134,64,2,2014,2,2,1,21,23
PI089152,65,2,2014,2,2,1,25,22
PI089153,66,2,2014,2,1,1,30,26
PI089154,67,2,2014,2,3,4,13,6
PI089156,68,2,2014,4,5,5,9,5
PI089773,69,2,2014,3,5,5,3,3
PI090392,70,2,2014,3,3,3,12,14
PI091091,71,2,2014,2,2,1,25,32
PI091102,72,2,2014,2,2,2,25,24
PI091120_3,73,2,2014,2,2,2,28,24
PI091162,74,2,2014,2,2,2,25,21
PI091341,75,2,2014,2,2,2,31,24
PI091349,76,2,2014,2,1,1,32,23
PI091559,77,2,2014,3,3,4,11,10
PI091725_3,78,2,2014,3,3,3,12,7
PI091733,79,2,2014,2,1,2,30,22
PI092465,80,2,2014,2,1,3,26,21
PI092603,81,2,2014,2,1,1,27,22
PI092611,82,2,2014,3,3,2,14,23
PI092683,83,2,2014,2,1,2,26,25
PI092706,84,2,2014,1,2,1,27,22
PI096162,85,2,2014,2,1,1,29,26
PI096199,86,2,2014,1,2,1,25,20
PI096322,87,2,2014,2,1,1,29,27
PI096786_1,88,2,2014,3,3,3,12,13
PI131531,89,2,2014,2,1,2,28,24
PI135589,90,2,2014,2,2,2,25,21
PI135590,91,2,2014,3,3,3,15,13
PI153229,92,2,2014,3,3,4,12,4
PI153250,93,2,2014,2,1,1,29,27
PI153280,94,2,2014,2,1,1,29,25
PI153282,95,2,2014,3,4,4,9,11
PI157421,96,2,2014,3,4,4,4,10
PI167240,97,2,2014,2,2,1,23,22
PI171450,98,2,2014,2,2,1,23,20
PI173994,99,2,2014,2,3,5,12,8
PI181536,100,2,2014,2,1,1,31,27
PI181537,101,2,2014,2,3,4,12,11
PI189916,102,2,2014,2,3,3,14,14
PI189919,103,2,2014,2,2,1,24,23
PI189930,104,2,2014,3,3,4,5,7
PI189941,105,2,2014,3,4,5,7,3
PI189958,106,2,2014,2,1,1,26,24
PI189969,107,2,2014,2,3,3,13,3
PI196149,108,2,2014,2,2,2,24,20
PI196150,109,2,2014,2,2,2,27,22
PI200478,110,2,2014,2,4,3,15,10
PI200548,111,2,2014,1,1,1,31,25
PI205085,112,2,2014,1,2,1,22,28
PI205087,113,2,2014,3,3,3,12,10
PI227212,114,2,2014,2,3,3,13,13
PI227325,115,2,2014,3,2,2,24,22
PI227558,116,2,2014,1,2,1,25,24
PI229336,117,2,2014,2,2,2,25,20
PI232987,118,2,2014,2,2,2,25,21
PI232988,119,2,2014,2,1,2,31,30
PI232989,120,2,2014,2,2,2,26,21
PI232990,121,2,2014,2,2,1,25,23
PI232992,122,2,2014,2,1,2,25,21
PI248509A,123,2,2014,3,4,5,5,9
PI250844,124,2,2014,1,1,1,30,24
PI253650A,125,2,2014,2,1,1,31,30
PI253651C,126,2,2014,1,2,1,20,21
PI253652C,127,2,2014,2,3,3,15,14
PI253653D,128,2,2014,2,1,1,27,21
PI253658A,129,2,2014,2,2,2,33,23
