Variety Name,Varitey Number,Replication,Year,IDC_Score_1,IDC_Score_2,IDC_Score_3,SPAD_1,SPAD_2
PI417297,175,1,2014,1,2,2,24,21
PI417513B,176,1,2014,3,4,5,3,3
PI417517,177,1,2014,3,3,3,14,11
PI417559,178,1,2014,2,2,1,22,28
PI423870,179,1,2014,2,3,2,26,14
PI424005,180,1,2014,4,5,5,6,5
PI424078,181,1,2014,4,4,5,5,9
PI430596,182,1,2014,2,3,2,6,14
PI430597,183,1,2014,2,2,2,25,24
PI430619,184,1,2014,2,3,3,10,9
PI437091,185,1,2014,2,2,2,25,22
PI437098,186,1,2014,2,3,3,9,11
PI437116,187,1,2014,2,1,2,24,18
PI437121B,188,1,2014,2,2,2,19,24
PI437122,189,1,2014,2,2,2,24,20
PI437124,190,1,2014,4,5,5,4,4
PI437145B,191,1,2014,3,2,2,15,22
PI437156C,192,1,2014,2,3,2,10,13
PI437165A,193,1,2014,3,3,3,12,10
PI437174B,194,1,2014,2,4,3,13,10
PI437340B,195,1,2014,1,1,1,31,28
PI437345,196,1,2014,2,2,3,19,20
PI437356,197,1,2014,3,4,4,9,10
PI437377,198,1,2014,1,2,1,21,20
PI437399,199,1,2014,1,1,1,31,24
PI437425,200,1,2014,1,1,2,27,23
PI437427B,201,1,2014,2,2,3,24,20
PI437462A,202,1,2014,2,1,1,26,23
PI437477A,203,1,2014,2,2,2,26,25
PI437509,204,1,2014,3,4,5,8,9
PI437519,205,1,2014,2,1,1,28,24
PI437558,206,1,2014,1,2,2,28,21
PI437581,207,1,2014,4,5,5,6,5
PI437585,208,1,2014,4,5,5,5,3
PI437592,209,1,2014,2,2,1,21,23
PI437594A,210,1,2014,2,3,1,12,12
PI437651B,211,1,2014,3,4,4,10,12
PI437656,212,1,2014,1,1,1,26,24
PI437662,213,1,2014,2,1,1,27,23
PI437663,214,1,2014,2,2,2,24,23
PI437674,215,1,2014,3,3,2,13,13
PI437682A,216,1,2014,2,3,2,13,15
PI437690,217,1,2014,2,1,2,33,27
PI437715,218,1,2014,2,2,2,30,24
PI437716A,219,1,2014,2,2,2,22,20
PI437733,220,1,2014,2,2,2,27,22
PI437738B,221,1,2014,2,2,1,15,22
PI437757,222,1,2014,2,3,2,26,25
PI437786,223,1,2014,1,2,1,19,23
PI437803,224,1,2014,3,3,3,12,11
PI437840A,225,1,2014,3,2,3,27,20
PI437846,226,1,2014,3,4,4,12,5
PI437935,227,1,2014,2,3,2,14,16
PI437944,228,1,2014,1,1,1,25,23
PI437949,229,1,2014,2,2,2,22,24
PI437950,230,1,2014,1,1,2,31,25
PI437964A,231,1,2014,3,3,3,10,12
PI437973,232,1,2014,2,2,2,27,20
PI438031,233,1,2014,2,2,2,23,22
PI438094B,234,1,2014,2,1,2,30,28
PI438103,235,1,2014,2,2,2,20,23
PI438133B,236,1,2014,3,4,5,10,3
PI438139,237,1,2014,3,3,2,17,16
PI438152,238,1,2014,2,2,2,23,20
PI438173,239,1,2014,2,2,2,28,24
PI438194,240,1,2014,2,2,2,19,17
PI438218,241,1,2014,2,2,3,20,19
PI438259B,242,1,2014,3,3,3,15,9
PI438292,243,1,2014,1,1,2,28,22
