Variety Name,Variety Number,Replication,Year,IDC_Score_1,IDC-Score_2,IDC_Score_3,SPAD1,SPAD2
PI054591,1,3,2015,3,3,3,12,10
PI054608_1,2,3,2015,3,3,3,11,12
PI054854,3,3,2015,1,1,1,25.4,24
PI062202,4,3,2015,1,1,1,24,26
PI065388,5,3,2015,1,1,1,28.6,24
PI068685,6,3,2015,1,1,1,30,28
PI068788,7,3,2015,1,1,1,31,26
PI068815,8,3,2015,1,1,1,27.4,24
PI070241,9,3,2015,1,1,1,25.8,28
PI070463,10,3,2015,1,1,1,25.6,27
PI071161,11,3,2015,1,1,1,29,25
PI072232,12,3,2015,1,1,1,29.9,23
PI079586,13,3,2015,1,1,1,22,24
PI079593,14,3,2015,1,1,1,29.9,25
PI079648,15,3,2015,1,1,1,27,26
PI079691_4,16,3,2015,1,1,1,21,24
PI079694,17,3,2015,1,1,1,32.2,26
PI079727,18,3,2015,1,1,1,31.7,25
PI079756,19,3,2015,1,1,1,20.6,27
PI079870_1,20,3,2015,1,1,1,24,26
PI080459,21,3,2015,1,1,1,31,24
PI080461,22,3,2015,1,1,1,25.4,25
PI080469,23,3,2015,1,1,1,29.9,26
PI080831,24,3,2015,1,1,1,27.1,28
PI081044_2,25,3,2015,1,2,1,25.8,20
PI081667,26,3,2015,1,1,1,29.1,25
PI081763,27,3,2015,1,1,1,22.1,26
PI081765,28,3,2015,1,1,1,25,21
PI081766,29,3,2015,1,1,1,21.6,23
PI081767,30,3,2015,1,1,1,32.6,29
PI081768,31,3,2015,1,1,1,25.7,27
PI081770,32,3,2015,1,1,1,30,26
PI081771,33,3,2015,1,1,1,30.5,28
PI081773,34,3,2015,2,2,2,19,18
PI082278,35,3,2015,1,1,1,30,28
PI084611,36,3,2015,1,1,1,31,27
PI084921,37,3,2015,1,1,1,23,26
PI084973,38,3,2015,4,5,5,8,5
PI085009_1,39,3,2015,1,1,1,31.6,27
PI085356,40,3,2015,1,1,1,29.5,26
PI086002,41,3,2015,1,1,1,24,24
PI086006,42,3,2015,1,1,1,31,28
PI086046,43,3,2015,1,1,1,32.5,26
PI086081,44,3,2015,1,1,1,32.6,24
PI086145,45,3,2015,1,1,1,29.6,28
PI086449,46,3,2015,1,1,1,31,26
PI086452,47,3,2015,1,1,1,33.1,28
PI087600_1,48,3,2015,1,1,1,30.4,25
PI087618,49,3,2015,1,1,1,30.5,26
PI087631_1,50,3,2015,1,1,1,28,24
PI087634,51,3,2015,1,1,1,27.7,28
PI088289,52,3,2015,1,1,1,22,26
PI088292,53,3,2015,1,1,1,30.2,24
PI088294_1,54,3,2015,1,1,1,24,28
PI088295,55,3,2015,2,2,2,19,17
PI088305,56,3,2015,1,1,1,25.4,29
PI088306,57,3,2015,1,1,1,23,24
PI088497,58,3,2015,1,1,1,28.3,27
PI088788,59,3,2015,1,1,1,27,28
PI089003_1,60,3,2015,1,1,1,24.4,25
PI089008,61,3,2015,1,1,1,29.2,24
PI089060,62,3,2015,1,1,1,24.5,28
PI089130,63,3,2015,1,1,1,30.9,29
PI089134,64,3,2015,1,1,1,32,31
PI089152,65,3,2015,1,1,1,32.4,32
PI089153,66,3,2015,1,1,1,26.5,28
PI089154,67,3,2015,1,1,1,28,27
PI089156,68,3,2015,3,2,1,12,18
PI089773,69,3,2015,1,1,1,29,29
PI090392,70,3,2015,1,1,1,32.1,31
PI091091,71,3,2015,1,1,1,17.1,28
PI091102,72,3,2015,1,1,1,23,24
PI091120_3,73,3,2015,1,1,1,29.6,25
PI091162,74,3,2015,1,1,1,28.1,26
PI091341,75,3,2015,1,1,1,33.4,24
PI091349,76,3,2015,1,1,1,26.1,25
PI091559,77,3,2015,3,2,3,12,18
PI091725_3,78,3,2015,1,1,1,29.4,26
PI091733,79,3,2015,1,1,1,32,25
PI092465,80,3,2015,3,3,3,11,11
PI092603,81,3,2015,2,1,1,28.8,24
PI092611,82,3,2015,1,1,1,31.5,29
PI092683,83,3,2015,2,2,2,18.9,21
PI092706,84,3,2015,1,1,1,21.2,25
PI096162,85,3,2015,1,1,1,29.6,26
PI096199,86,3,2015,1,1,1,19.9,27
PI096322,87,3,2015,1,1,1,31.3,28
PI096786_1,88,3,2015,1,1,1,29.3,26
PI131531,89,3,2015,1,1,1,29,24
PI135589,90,3,2015,1,1,1,31.3,28
PI135590,91,3,2015,3,3,3,10,12
PI153229,92,3,2015,1,1,1,30.6,28
PI153250,93,3,2015,1,2,2,31.2,31
PI153280,94,3,2015,1,1,1,23,25
PI153282,95,3,2015,1,1,1,29.8,26
PI157421,96,3,2015,3,3,3,11,11
PI167240,97,3,2015,1,1,1,30.9,27
PI171450,98,3,2015,1,1,1,31,29
PI173994,99,3,2015,1,1,1,23,25
PI181536,100,3,2015,1,1,1,26.6,26
PI181537,101,3,2015,1,1,1,25.6,27
PI189916,102,3,2015,1,1,1,27,28
PI189919,103,3,2015,1,1,1,32.6,26
PI189930,104,3,2015,2,2,2,20,17
PI189941,105,3,2015,1,1,1,26.3,27
PI189958,106,3,2015,1,1,1,24.9,26
PI189969,107,3,2015,1,1,1,30,28
PI196149,108,3,2015,1,1,1,29,24
PI196150,109,3,2015,3,3,3,11,12
PI200478,110,3,2015,1,1,1,26.6,24
PI200548,111,3,2015,1,1,1,25.7,26
PI205085,112,3,2015,1,1,1,23,24
PI205087,113,3,2015,1,1,1,30,25
PI227212,114,3,2015,1,1,1,30.1,27
PI227325,115,3,2015,1,3,2,23.9,11
PI227558,116,3,2015,1,1,1,31.9,26
PI229336,117,3,2015,1,1,1,24.2,27
PI232987,118,3,2015,1,1,1,28.3,22
PI232988,119,3,2015,1,1,1,31,28
PI232989,120,3,2015,1,1,1,32,29
PI232990,121,3,2015,1,1,1,31.5,24
PI232992,122,3,2015,1,1,1,23,25
PI248509A,123,3,2015,1,1,1,27.6,26
PI250844,124,3,2015,1,1,1,29.7,24
PI253650A,125,3,2015,1,1,1,32.7,25
PI253651C,126,3,2015,1,1,1,31.4,26
PI253652C,127,3,2015,1,1,1,27.9,28
PI253653D,128,3,2015,1,1,1,26.6,24
PI253658A,129,3,2015,2,1,1,19,23
